Subject,Research Category,Events Found,Indicators Found,Reports Found,Key Findings,Data Quality,Top Sources,Error
"Yemen 2023: Truce collapse, Red Sea crisis begins, Houthi attacks, economic impact, exchange rate pressure",causation,3,4,2,"Yemen's economy contracted by 2.0% in 2023, primarily due to the Houthi-imposed oil export blockade which caused a sharp decline in IRG fiscal revenues and widened the current account deficit to 19.3% of GDP. The subsequent Houthi attacks in the Red Sea starting in late 2023 further strained the import-dependent economy through increased shipping costs, exacerbating the existing monetary fragmentation and exchange rate pressure in IRG-controlled areas.",Good,"World Bank, International Monetary Fund (IMF), Council on Foreign Relations (CFR)",
"Yemen 2024: Red Sea attacks escalate, exchange rate crisis, humanitarian situation, aid flows, economic indicators",causation,4,5,3,"Yemen's economy in 2024 was defined by severe fragmentation and external shocks. Real GDP was projected to contract by 1.0%, driven by the Houthi blockade on IRG oil exports, which caused a 42% fiscal revenue drop. The split Central Bank exacerbated the exchange rate crisis, with the rial depreciating to 1,917 YER/USD in Aden by August. Houthi Red Sea attacks increased import costs, while 18.2 million people required humanitarian aid amidst threats of major donor cuts.",Limited,"World Bank, IMF, UN OCHA, Sana'a Center for Strategic Studies",
"Yemen 2025: Current situation, latest developments, exchange rates, humanitarian crisis, economic outlook",causation,7,9,6,"Yemen's 2025 outlook is bleak, marked by severe economic fragmentation and a deepening humanitarian crisis. GDP is projected to contract by 0.5% to 1.5%, driven by the oil export blockade and declining aid, which has left the UN's $2.5B humanitarian plan only 19% funded. The currency crisis, with a YER/USD rate split between 534 and 1,676, highlights the institutional division and economic warfare between the conflicting parties.",Limited,"World Bank, IMF, UN OCHA, Sana'a Center for Strategic Studies, IRIS-France, Trading Economics",
"World Bank Yemen: All projects, funding, reports, Emergency Crisis Response Project, Financial Market Infrastructure, portfolios",institution,5,3,5,"The World Bank's ECRP has provided over $860 million in grants for crisis mitigation. Recent years show severe economic contraction (-1.5% GDP in 2025) and high inflation (35%+ in 2025) driven by conflict, fiscal fragmentation, and Red Sea tensions. New projects focus on digital financial infrastructure and education.",Limited,"World Bank, IMF, UNDP, UNICEF",
"IMF Yemen: Article IV consultations, programs, technical assistance, reports, economic assessments, projections",institution,4,27,4,"The IMF's engagement with Yemen was centered on the 2014 Article IV Consultation and a proposed Extended Credit Facility (ECF) to address a deteriorating macroeconomic situation, primarily caused by oil pipeline sabotage and political instability. The core policy focus was a substantial overhaul of energy subsidies to free up funds for social transfers and infrastructure. The IMF's formal Article IV consultations resumed in 2025 after an 11-year hiatus, highlighting the severe disruption of the conflict. Data quality is limited due to the conflict, making post-2014 figures highly uncertain projections.",Limited,"International Monetary Fund, World Bank",
"UN OCHA Yemen: Humanitarian Response Plans, funding appeals, crisis reports, coordination, needs assessments",causation,8,3,20,"The Yemen crisis is characterized by a massive and sustained humanitarian need, with over 19 million people requiring assistance in 2025. The primary drivers are protracted conflict, severe economic collapse, and recurrent climate shocks. Despite billions in requirements, the annual response plans consistently face severe underfunding, highlighting a critical gap between humanitarian needs and available resources.",Good,"UN OCHA, ReliefWeb, FAO, IOM, UNICEF, WHO",
"WFP Yemen: Food assistance programs, beneficiaries, funding, reports, food security assessments, operations",institution,5,6,4,"WFP Yemen's 2024 operations were marked by a significant policy shift from General Food Assistance to Targeted Emergency Food Assistance, assisting 7.2 million people. The program faced major disruptions, including a pause in the Sana'a-based authorities (SBA) areas and operational challenges due to Red Sea attacks and severe climate-related floods. Funding shortfalls remain a critical constraint, forcing a more targeted approach.",Good,"World Food Programme, ReliefWeb, World Bank, IPC",
"UNHCR Yemen: Refugee and IDP data, protection, assistance programs, reports, displacement statistics",causation,10,9,4,"The Yemen crisis is characterized by severe economic hardship and growing fragmentation, with real GDP projected to contract by 1.5% in 2025, driven by the oil export blockade and institutional division. UNHCR data shows nearly 4.8 million internally displaced persons (IDPs) and 21.6 million people in need of humanitarian aid, while funding for the UN response remains critically low at 19% of the required $2.5 billion. The economic decline is directly linked to conflict, leading to a 26% increase in the basic food basket price and forcing over 60% of households to resort to negative coping mechanisms.",Good,"UNHCR, World Bank, IOM, TFPM",
"UNICEF Yemen: Child welfare, education, health, nutrition, WASH programs, reports, statistics",institution,10,24,4,"UNICEF's response in Yemen is critical, with 9.8 million children in need of assistance due to conflict and economic collapse. Key programmatic results for the first half of 2024 include screening 1.7 million children for malnutrition and reaching 1.3 million people with mine risk education, highlighting the severe humanitarian and protection challenges. The high stunting rate (47%) and low birth registration (29%) underscore the long-term development crisis.",Good,"UNICEF, UNICEF Data",
"WHO Yemen: Health system, disease outbreaks, cholera, COVID-19, health facilities, reports",institution,5,6,3,"The Yemen health system is severely strained, with only 38% of facilities partially functioning as of late 2024. Major events include the 2016-2022 cholera outbreak, the COVID-19 pandemic, and recent floods. Key indicators show high rates of malnutrition and a massive cholera burden, with WHO and partners struggling due to chronic underfunding.",Limited,"World Health Organization (WHO), ReliefWeb, The Lancet, World Bank",
"FAO Yemen: Food security, agriculture, livestock, fisheries, reports, assessments, projects",institution,3,4,15,"The food security situation in Yemen remains critical, with IPC Phase 5 (Catastrophe) projected for parts of the country in 2025, driven by the ongoing conflict, economic decline, and climate shocks. FAO's strategy involves emergency aid, resilience-building projects, and continuous monitoring of agricultural livelihoods, supported by significant international funding.",Limited,"FAO, WFP, IPC, UN OCHA, World Bank",
"UNDP Yemen: Development programs, governance, economic recovery, reports, projects",causation,8,9,4,"The conflict in Yemen has resulted in a cumulative loss of $126 billion in potential GDP and 377,000 deaths by 2021, with 60% from indirect causes. UNDP's research highlights that an integrated recovery strategy, focusing on women's empowerment, agriculture, and private sector leverage, is essential to surpass the pre-war SDG trajectory by 2050. The ERRY Joint Programme (2016-2025) reached over 2.1 million Yemenis, strengthening livelihoods and local governance.",Fair,"United Nations Development Programme, Frederick S. Pardee Center, European Union, FAO, WFP, ILO",
"IOM Yemen: Migration, displacement, DTM reports, humanitarian assistance, protection",actor,5,7,7,"The protracted conflict and economic collapse in Yemen have created one of the world's most severe humanitarian crises, with 19.5 million people in need of assistance in 2025. Key economic indicators show a projected GDP contraction of -1.5% and high inflation (20.4%) for 2025. IOM's DTM tracks over 3 million IDPs, with economic hardship and declining international aid being major drivers of displacement. The response focuses on multisectoral aid, protection, and building resilience.",Limited,"International Organization for Migration (IOM), World Bank, International Monetary Fund (IMF), UN OCHA, CALP Network",
"Central Bank Yemen Aden: All circulars, decisions, monetary policy, exchange rate policy, reports, annual reports",institution,3,10,4,"The Central Bank of Yemen (Aden) operates under a challenging dual-economy context, focusing on price stability through monetary targeting. Key events include the issuance of directives to increase bank capital and the ongoing struggle to stabilize the exchange rate. Data quality is limited due to the conflict, relying heavily on CBY's own reports and international projections.",Limited,"Central Bank of Yemen (Aden), World Bank, International Monetary Fund (IMF), Sana'a Center for Strategic Studies",
"Central Bank Yemen Sana'a: All circulars, decisions, monetary policy, currency policies, operations under Houthis",control,7,1,3,"The CBY-Sana'a, under Houthi control, has aggressively pursued monetary control since the 2016 split, notably by banning CBY-Aden's new banknotes in 2019 and issuing its own new coins and notes in 2024-2025. These unilateral actions, often in response to external pressure like the US FTO designation, have deepened the currency war, leading to a dual monetary system and significant instability in the Yemeni rial's value in government-held areas. The core mechanism is the assertion of financial sovereignty and pressure on commercial banks to comply with Sana'a's directives.",Limited,"Sana'a Center for Strategic Studies, World Bank, ODI",
"Yemen commercial banks: CAC Bank, Yemen Kuwait Bank, Tadhamon, Yemen Commercial Bank, National Bank, status, reports",causation,5,3,4,"The Yemeni banking sector is severely fragmented due to the dual Central Bank system and the Houthi-imposed anti-usury law (March 2023). This has led to a sharp decline in local currency deposits (from 15.1% of GDP in 2014 to 9.4% in 2023) and put major commercial banks like CAC Bank and National Bank of Yemen at risk of capital depletion. Key actors, including Yemen Kuwait Bank, have faced US sanctions (Jan 2025) for supporting the Houthis, further isolating the formal financial system.",Limited,"World Bank, ACAPS, Tadhamon Bank, US Department of the Treasury",
"Yemen Islamic banks: Shamil Bank, Saba Islamic Bank, Yemen Islamic Bank, operations, reports, status",causation,4,4,3,"The three Islamic banks operate in a severely fragmented and high-risk environment, dominated by the dual Central Bank system and the Houthi-enacted Anti-Usury Law of 2023. This law, which bans interest, threatens bank stability by forcing write-downs on government securities, a major source of revenue. The banks are also caught in the CBY-Aden's 2024 order for Sana'a-based banks to relocate, deepening the sector's political division. Financial data is scarce and dated, suggesting very limited transparency and high operational risk.",Limited,"World Bank, Central Bank of Yemen, ACAPS, Shamil Bank of Yemen and Bahrain",
"Yemen Microfinance Network: All member institutions, reports, statistics, borrowers, depositors, operations",institution,3,4,2,"The Yemen Microfinance Network (YMN) and its members have faced severe operational challenges due to the war and COVID-19, with a significant drop in loan issuance in 2020. The Social Fund for Development (SFD) and YMN's intervention helped restore 4,738 war-affected enterprises. Data on borrowers and savers is available, but detailed financial performance metrics like Portfolio at Risk are only available per MFI, not aggregated.",Limited,"Yemen Microfinance Network (YMN), Social Fund for Development (SFD), World Bank, San'a Center for Strategic Studies",
"Social Fund for Development Yemen: Projects, funding, microfinance programs, reports, impact",institution,8,9,4,"The Social Fund for Development (SFD) Yemen has proven to be a highly resilient and effective national institution, managing over $1.75B in cumulative disbursements since 1997. Despite the 2015 conflict severely impacting its microfinance sector, SFD remains a critical partner for major donors like the World Bank, which approved a $207M grant in 2023 for social protection, underscoring SFD's central role in Yemen's humanitarian and development landscape.",Good,"World Bank, Social Fund for Development, Sana'a Center for Strategic Studies",
"Yemen money exchangers: Informal financial sector, operations, exchange rates, regulations, status",actor,5,3,3,"The conflict and the 2016 CBY split forced a reliance on the informal financial sector, where money exchangers became the primary channel for remittances and trade finance. Despite their critical role, they exhibit low profitability (avg. ROA -0.4%) and face limited regulatory oversight, posing significant financial integrity risks due to the dual-authority environment.",Limited,"World Bank, ODI, Sana'a Center for Strategic Studies",
"Yemen Tax and Customs Authority: Policies, revenues, reforms, reports, both Aden and Sana'a authorities",control,6,4,4,"The Yemen Tax and Customs Authority is fragmented, with the Houthi-controlled Sana'a authority collecting an estimated $789 million in customs revenue from Red Sea ports, which funds their military operations. This dual control and the IRG's customs dollar rate increases have caused economic division, a shift in import activity away from Aden, and triggered US sanctions targeting Houthi financial networks.",Limited,"Sana'a Center For Strategic Studies, World Bank, IMF",
"US sanctions Yemen: OFAC designations, Houthi sanctions, financial restrictions, reports, impact",sanctions,5,8,3,"US sanctions, including the FTO designation and targeted OFAC actions against 32 entities, have intensified financial pressure on the Houthis, targeting their illicit revenue from state capture, oil smuggling, and weapons procurement. However, the sanctions have also exacerbated Yemen's economic fragmentation, contributing to a sharp YER depreciation in IRG areas (to 2,065 YER/USD in 2024) and high inflation (30.4%), while humanitarian aid has declined. The World Bank estimates a 1.5% GDP contraction in 2024.",Limited,"US Department of the Treasury, World Bank, Sana'a Center for Strategic Studies, The New Humanitarian",
"EU sanctions Yemen: Sanctions list, arms embargo, financial measures, reports",sanctions,3,3,4,"The EU's restrictive measures against Yemen, established in 2014, are primarily a transposition of the UN Security Council's sanctions, focusing on a targeted arms embargo, asset freezes, and travel bans. The sanctions list is small, containing only 10 individuals and 1 entity, reflecting a focus on key destabilizing actors rather than broad economic measures. The economic impact is largely indirect, exacerbated by the civil war and the recent Houthi attacks in the Red Sea, which have contributed to a projected 1.5% GDP contraction in 2025.",Limited,"UN Security Council, World Bank, IMF, European Union",
"UK sanctions Yemen: Designations, financial restrictions, reports, coordination with UN",sanctions,7,24,3,"UK sanctions target 11 Houthi leaders for actions like supporting Red Sea attacks and human rights abuses, with an asset freeze based on UN resolutions. The Houthi oil blockade and Red Sea attacks have exacerbated Yemen's economic fragmentation, leading to a sharp decline in GDP per capita and a severe humanitarian crisis. UN reports highlight persistent arms embargo violations and the Houthis' use of illegal revenue generation, limiting the effectiveness of financial sanctions.",Limited,"HM Treasury, World Bank, UN Panel of Experts on Yemen",
"UN Security Council Yemen: Resolutions, sanctions, arms embargo, Panel of Experts reports",sanctions,5,10,3,"The UN Security Council's sanctions regime on Yemen, including the arms embargo and targeted financial measures, has been largely ineffective in curtailing the Houthi movement's financial power. The Houthis, as the primary actor, have adapted by generating substantial revenue through illegal taxation, control of the telecommunications sector, and the seizure of commercial entities, with annual estimates from the telecom sector alone reaching approximately $92 million. This financial fragmentation, exacerbated by the conflict and external shocks, has contributed to a severe economic crisis, marked by a 58% decline in real GDP per capita since 2015 and inflation exceeding 35% in 2025.",Good,"UN Panel of Experts on Yemen, World Bank, International Monetary Fund",
"Yemen territorial control map: Actor control by governorate, changes over time, military control",control,4,3,6,"Recent developments in December 2025 show a significant shift in the territorial control of southern Yemen, with the UAE-backed Southern Transitional Council (STC) seizing key areas in Hadramawt and Mahrah governorates, including vital oil infrastructure. This move further fragments the country and intensifies the economic war, which has already seen Yemen's GDP contract by an accumulated 39% since 2014, according to the World Bank. The conflict remains centered on control over oil resources and ports.",Limited,"ACLED, IMF, World Bank, Sana'a Center for Strategic Studies, The Soufan Center",
"Yemen actor funding sources: Houthis, IRG, STC, revenue sources, taxation, external support",actor,6,7,4,"The Houthis maintain a robust, multi-billion-dollar financial network through illicit oil trade, high port tariffs, and an estimated $180 million monthly from Red Sea shipping fees. This financial resilience, backed by Iran and Russia, has severely constrained the Internationally Recognized Government (IRG), whose primary oil revenue stream has collapsed to 2.5% of previous levels due to the Houthi blockade. Meanwhile, the UAE-backed Southern Transitional Council (STC) is consolidating control over southern oil-rich territories, further deepening Yemen's economic fragmentation.",Limited,"World Bank, IMF, GNET Research, UN",
"Saudi Arabia Yemen support: Aid packages, deposits, projects, King Salman Center, military support",actor,5,5,5,"Saudi Arabia has provided over $8 billion in financial aid and deposits to Yemen since 2012, with major CBY deposits totaling at least $4 billion aimed at currency stabilization. The Saudi-led military intervention, which began in March 2015, has been a major financial commitment. KSrelief has implemented 63 humanitarian projects worth over $345 million, providing a critical lifeline to the internationally recognized government.",Good,"Saudi Development and Reconstruction Program for Yemen, King Salman Humanitarian Aid and Relief Centre, International Monetary Fund, World Bank, Saudi Ministry of Finance",
"UAE Yemen involvement: Aid, STC support, port investments, economic projects, military role",actor,6,3,2,"The UAE's involvement in Yemen is characterized by a security-economic nexus, where military operations and support for the separatist Southern Transitional Council (STC) are intrinsically linked to securing strategic economic interests, particularly control over key maritime infrastructure and energy hubs in the south. Despite a 2019 military withdrawal, the UAE maintains significant influence through the STC and substantial financial aid, totaling over $6 billion between 2015 and 2020, and a recent $1 billion electricity investment pledge.",Limited,"Carnegie Endowment for International Peace, ResearchGate, UAE Ministry of Foreign Affairs, New York Times",
"USA Yemen aid: USAID programs, humanitarian assistance, development projects, funding",actor,5,5,5,"U.S. foreign assistance to Yemen is overwhelmingly humanitarian, with over $760 million obligated in the most recent reporting period, primarily channeled through the World Food Program and UN agencies. A critical policy event was the March 2020 partial suspension of USAID aid in northern Yemen due to Houthi interference, highlighting major actor-related challenges. Direct, comprehensive economic data for key indicators remains severely limited due to the ongoing conflict.",Very Limited,"USAID, U.S. Department of State, World Food Program, IMF, UN OCHA",
"Yemen transparency organizations: Yemen Data Project, ACAPS, Sana'a Center, DevChampions, reports",transparency,7,9,10,"Research confirms a severe and fragmented economic crisis in Yemen, driven by the Houthi oil export blockade and a sharp decline in international aid, leading to a projected -1.5% Real GDP contraction in 2025. Fiscal deterioration in IRG-controlled areas is marked by a 30% revenue decline and a doubling of the fiscal deficit, while monetary policy divergence continues to fuel high inflation and exchange rate volatility. Authoritative reports from the World Bank and Sana'a Center highlight the conflict's shift to economic warfare, with critical impacts on essential services and food security.",Fair,"World Bank, IMF, Sana'a Center, ACAPS, Development Champions",
"Yemen donor coordination: UN coordination, donor conferences, funding pledges, disbursements",causation,6,5,2,"The coordinated humanitarian response in Yemen is severely underfunded, with the 2025 plan only 24.2% funded, a situation exacerbated by a decade-long decline in donor commitments. This aid shortfall, combined with the oil export blockade and economic fragmentation, is projected to cause a 1.5% GDP decline and push over 60% of households into food insecurity.",Limited,"UN OCHA, World Bank, The Global Economy, European Commission, United Kingdom, Saudi Arabia, Germany, United States of America",
"Yemen causation relationships: CBY split impact, war economic effects, sanctions impact, aid effectiveness",causation,5,3,12,"The CBY split in 2016 created two parallel economies, leading to severe currency divergence and economic fragmentation. The war caused a 54-58% decline in real GDP per capita since 2015. Sanctions, while targeted, have contributed to financial sector fragility. Aid effectiveness is hampered by the conflict, with cash assistance proving more efficient than food aid in some contexts. Data is highly fragmented and limited.",Limited,"World Bank, Sana'a Center for Strategic Studies, IMF, The New Humanitarian, UN Security Council",
